Sucess: 811
Erros: 149
Rate: 0.8447916666666667
Execution Time: 8686
Test;Best Match;Search Time;DTW
6;6;6;1,6527889999999998
6;6;5;1,3611650066666
6;6;6;1,3055039999999993
6;6;5;1,2500009826666991
6;6;6;1,4166469853334
6;6;5;1,13885200866673
6;11;6;1,7639049946666996
6;11;5;1,9166690239999995
6;6;8;2,0832650026666997
6;11;6;0,916663
6;6;6;1,0555519853333997
6;6;5;2,2083319999999995
6;6;6;1,722191
6;6;5;1,9860979853334002
6;6;5;2,0972469979999997
6;11;6;2,0138489919999003
6;6;5;3,0833219933333
6;6;5;1,5138909826666986
6;6;9;1,5833260026666305
6;11;5;1,0277850073333
6;11;7;1,4722020033332996
6;1;5;1,5972630133337002
6;6;6;1,513874
6;6;5;1,5972199999999999
6;6;6;1,1249519900000295
6;11;5;1,5972499966667
6;6;7;1,3888600093333996
6;11;6;1,5555549826668997
6;6;6;1,5278029986666994
6;6;6;1,6528059986667005
6;6;6;1,4166679986667003
6;6;4;1,597204
6;6;3;3,01389300066663
6;6;2;2,3610910013332997
6;6;3;1,8888609933332996
6;6;2;2,1666469999999998
6;6;4;1,9028509973333005
6;6;3;1,1249089959999998
6;6;1;1,875
6;6;3;1,5277900026666997
6;6;4;1,3333719986667
6;6;1;0,7638900000000002
6;6;3;1,1250100013332998
6;6;5;2,8333019999999998
6;6;5;1,6944740013333002
6;6;4;2,3194439999999994
6;6;7;3,069502986667001
6;6;5;2,8749909999999996
6;6;5;1,9026769986666998
6;6;6;1,9027469906666992
6;6;5;2,4583499953334305
6;6;5;3,6110660013332994
6;7;4;1,958340002
6;1;6;2,0000660073337007
6;1;6;1,3472340033332997
6;1;6;0,8333119999999998
6;1;4;0,9444200000000001
6;1;7;0,8194539999999998
6;1;6;1,5138260033332993
6;1;6;1,1805899999999998
7;7;7;1,2500270033333007
7;7;8;0,9166660073333609
7;10;9;1,1666580246667009
7;7;7;1,2361730000000004
7;7;7;1,6807080000000003
7;7;5;1,3749999999999996
7;7;7;1,2778460000000003
7;7;9;1,9583869986666989
7;7;5;1,7777499999999988
7;2;7;1,0694329999999996
7;7;10;1,15279
7;7;7;1,819454
7;7;7;1,4305399999999993
7;7;5;1,88885
7;7;5;1,30557
7;7;5;1,5415900000000002
7;2;5;0,8055500000000003
7;7;5;0,7777899999999999
7;7;6;0,9444270000000001
7;7;5;1,1666679999999996
7;7;6;0,9582999999999999
7;7;5;1,069438
7;7;5;1,0972079999999997
7;7;5;1,27778
7;7;5;1,6111600000000006
7;7;3;0,7361399999999999
7;7;5;1,4305859999999997
7;10;5;1,9305199999999998
7;7;5;1,6805149999999993
7;7;5;1,6527360000000004
7;7;6;1,4723009999999996
7;7;5;1,37498
7;7;5;1,3193979999999996
7;7;4;1,4860899999999997
7;10;5;1,7220639999999998
7;12;3;1,4721899999999997
7;12;5;0,91666
7;7;6;1,2083179999999991
7;2;5;0,66666
7;7;5;1,4860259999999998
7;7;4;0,9305669999999996
7;7;4;1,3611199999999999
7;7;5;1,180538
7;7;4;1,0972149999999998
7;7;5;1,6527499999999997
7;2;5;0,8472360233330006
7;7;6;1,0694169999999994
7;7;5;1,0416570000000005
7;7;6;1,0555379966667007
7;7;6;1,374980996666701
7;7;7;1,625034002
7;2;6;1,3055569999999994
7;7;6;1,1666380000000003
7;7;6;1,0000150139999
7;2;6;1,0694670053333
7;7;7;1,2361060046666004
7;7;7;1,0277740000000002
7;7;6;0,8055339986667001
7;7;6;1,6111250059999696
7;7;8;1,9721269920000997
7;7;8;1,22221101333333
7;7;9;1,2083439980000008
7;7;7;0,8749829973333002
7;7;7;0,9583220053332704
7;7;10;1,1110969979999998
7;7;9;1,3055449986667
7;7;9;1,6666490086665995
7;7;7;1,2639160113332002
7;7;7;0,8055650046666707
7;7;6;0,7500060026666407
7;7;8;1,1944629913332991
7;7;7;1,1666750026667
7;7;8;1,4582959993333302
7;7;8;1,1805499980000007
8;8;13;1,2499979999999993
8;8;15;1,749944999999999
8;8;13;1,1944369999999993
8;8;14;1,4443909999999984
8;8;15;1,3333779999999997
8;8;13;1,0416229999999993
8;8;17;1,402845999999999
8;8;15;1,0416779999999992
8;8;15;1,0694299999999992
8;8;17;1,4582859999999993
8;8;16;1,3889129999999987
8;8;15;1,5971379999999984
8;8;15;1,2638899999999995
8;8;15;1,4999719999999994
8;8;16;1,2082889999999984
8;8;16;1,361123999999999
8;8;15;1,277737999999999
8;8;13;1,916581
8;8;16;1,5694209999999986
8;8;13;0,9027679999999996
8;8;15;1,1944599999999992
8;8;13;1,5416599999999994
8;8;15;1,041637999999999
8;8;13;1,1248499999999995
8;8;15;1,1666979999999991
8;8;14;1,319446
8;8;15;1,7082699999999986
8;8;14;1,0833199999999996
8;8;15;1,416664999999999
8;8;16;1,444411999999999
8;8;15;1,3611249999999986
8;8;14;1,6250709999999993
8;8;16;1,875022
8;8;16;1,1667039999999993
8;8;16;1,5555659999999984
8;8;16;1,138889999999999
8;8;14;1,5694699999999986
8;8;16;1,138792999999999
8;8;13;1,0138099999999988
8;8;14;1,6110919999999982
8;8;19;1,2916819999999989
8;8;19;1,8194659999999983
8;8;14;1,5138809999999987
8;8;14;1,833384999999998
8;8;14;1,916624999999998
